Nombre,Latitud,Longitud
 SUBSECRETARIA DE ADMINISTRACION GUADALAJARA,20.696387,-103.348374
1 DE MAYO,20.367523,-102.767378
1 DE MAYO,19.3478334,-104.8875556
1 DE MAYO,19.8198391,-103.4636973
1 DE MAYO,20.091889,-104.1519446
1 DE MAYO,20.0968612,-104.1695278
1 DE MAYO,20.6219168,-103.3979723
1 DE MAYO,20.6451914,-103.2653581
1 DE MAYO,20.686601,-103.2767796
1 DE MAYO,21.0001666,-103.9123333
1 DE MAYO,21.1977778,-102.1261111
1 DE MAYO,21.3269722,-102.2794167
1 DE MAYO,21.7771112,-101.9612777
10 DE MAYO,20.1487778,-105.0257779
10 DE MAYO,20.4676387,-102.7354723
12 DE OCTUBRE,19.9072222,-105.2963889
12 DE OCTUBRE,20.2258056,-102.6808333
12 DE OCTUBRE,20.2313057,-104.0049445
12 DE OCTUBRE,20.3999443,-103.0378055
12 DE OCTUBRE,20.700008,-102.34085
12 DE OCTUBRE,20.8006389,-103.2302779
12 DE OCTUBRE,21.0905556,-102.5349443
12 DE OCTUBRE,21.3663889,-102.36
13 DE SEPTIEMBRE,19.9654443,-104.7968332
13 DE SEPTIEMBRE,20.5801946,-104.7546389
13 DE SEPTIEMBRE,20.7027222,-103.0691943
13 DE SEPTIEMBRE,22.1141666,-103.1178888
14 DE FEBRERO,20.6777363,-103.2925058
15 DE MAYO,20.551192,-102.515058
15 DE MAYO,20.631173,-105.210015
15 DE MAYO,20.2874866,-103.4174666
15 DE MAYO,20.4706112,-102.5933333
15 DE MAYO,20.5363889,-103.0627778
15 DE MAYO,20.5858347,-103.4340087
15 DE MAYO,20.617272,-105.230569
15 DE MAYO,21.0155278,-102.382611
15 DE SEPTIEMBRE,20.2098334,-105.0495
16 DE SEPTIEMBRE,19.33175,-104.9511666
16 DE SEPTIEMBRE,19.7599168,-104.9187501
16 DE SEPTIEMBRE,19.8910556,-103.9614166
16 DE SEPTIEMBRE,20.3603888,-103.9311389
16 DE SEPTIEMBRE,20.4881667,-105.4459999
16 DE SEPTIEMBRE,20.6282295,-103.3016095
16 DE SEPTIEMBRE,20.6783334,-103.0883056
16 DE SEPTIEMBRE,20.788285,-104.193269
16 DE SEPTIEMBRE,20.8228578,-102.7548216
16 DE SEPTIEMBRE,20.8970557,-104.8910556
16 DE SEPTIEMBRE,20.9226389,-104.0902224
16 DE SEPTIEMBRE,21.3642779,-102.3821389
16 DE SEPTIEMBRE,21.3908333,-101.9641667
16 DE SEPTIEMBRE,21.4306112,-101.9076945
16 DE SEPTIEMBRE,21.6316668,-102.390861
18 DE DICIEMBRE DIA INTERNACIONAL DEL MIGRANTE,19.7705556,-105.2480556
18 DE MARZO,20.638223,-103.376924
18 DE MARZO,20.094111,-103.1752779
18 DE MARZO,20.1197222,-105.2027223
18 DE MARZO,20.297429,-103.899158
18 DE MARZO,20.3888888,-102.9788333
18 DE MARZO,20.4189444,-105.5561388
18 DE MARZO,20.4412463,-103.9691653
18 DE MARZO,20.4426929,-102.3951209
18 DE MARZO,20.6105786,-103.3075691
18 DE MARZO,20.6577736,-105.2013317
18 DE MARZO,20.6648492,-103.3510162
18 DE MARZO,20.7456945,-102.1304443
18 DE MARZO,20.7508741,-103.343776
18 DE MARZO,20.8552222,-102.74525
18 DE MARZO,20.954479,-102.663486
18 DE SEPTIEMBRE,20.6801167,-103.3078507
19 DE ABRIL,20.6836704,-103.3239703
19 DE SEPTIEMBRE,19.681109,-103.469597
20 DE NOVIEMBRE,19.933859,-105.252738
20 DE NOVIEMBRE,20.660829,-102.71339
20 DE NOVIEMBRE,22.108116,-103.267566
20 DE NOVIEMBRE,19.5209444,-104.278639
20 DE NOVIEMBRE,19.6751534,-105.1878245
20 DE NOVIEMBRE,19.7752778,-103.897
20 DE NOVIEMBRE,19.8082777,-103.0999999
20 DE NOVIEMBRE,19.8389721,-104.2714722
20 DE NOVIEMBRE,20.0541943,-103.1089166
20 DE NOVIEMBRE,20.0936111,-104.1538889
20 DE NOVIEMBRE,20.1080832,-103.2945279
20 DE NOVIEMBRE,20.3670279,-102.9652221
20 DE NOVIEMBRE,20.3686945,-103.950361
20 DE NOVIEMBRE,20.4346667,-102.7778611
20 DE NOVIEMBRE,20.4946945,-103.9914722
20 DE NOVIEMBRE,20.5027777,-103.2209721
20 DE NOVIEMBRE,20.5863333,-104.1721387
20 DE NOVIEMBRE,20.5958888,-103.2900278
20 DE NOVIEMBRE,20.6254533,-103.0746619
20 DE NOVIEMBRE,20.6656947,-103.345178
20 DE NOVIEMBRE,20.6685834,-102.6940556
20 DE NOVIEMBRE,20.6799536,-103.342781
20 DE NOVIEMBRE,20.6853252,-103.2851062
20 DE NOVIEMBRE,20.8565,-104.0319165
20 DE NOVIEMBRE,20.913241,-103.9614
20 DE NOVIEMBRE,20.955799,-103.139759
20 DE NOVIEMBRE,21.1881666,-103.8041944
20 DE NOVIEMBRE,21.3839338,-101.955441
20 DE NOVIEMBRE,21.703861,-103.5967222
20 DE NOVIEMBRE,21.87177,-101.59517
21 DE MARZO,20.408569,-102.728179
21 DE MARZO,20.3143055,-103.4173889
21 DE MARZO,20.3248267,-102.9661562
21 DE MARZO,20.6146729,-105.2309601
21 DE MARZO,20.6164712,-103.3539523
